1,1234,183800
2,1234,368200
3,1234,153100
4,1234,229900
5,1234,490400
6,1234,332900
7,1234,183000
8,1234,185700
9,1234,124000
10,1234,329700
11,1234,180600
12,1234,58000
13,1234,229500
14,1234,214800
15,1234,154500
16,1234,27700
17,1234,255400
18,1234,22500
19,1234,310300
20,1234,216600
21,1234,316800
22,1234,65000
23,1234,493600
24,1234,490900
25,1234,455700
26,1234,327800
27,1234,296800
28,1234,136300
29,1234,21300
30,1234,487800
31,1234,227700
32,1234,358600
33,1234,131500
34,1234,42000
35,1234,28900
36,1234,461200
37,1234,110400
38,1234,391500
39,1234,455700
40,1234,414600
41,1234,160100
42,1234,435600
43,1234,367600
44,1234,294000
45,1234,377200
46,1234,311300
47,1234,384400
48,1234,145900
49,1234,451500
50,1234,298800
